iter	Passed	Remaining
455	995	7736
456	997	7736
457	1000	7738
458	1003	7742
459	1006	7742
460	1010	7754
461	1012	7754
462	1015	7757
463	1018	7757
464	1020	7756
465	1022	7753
466	1024	7751
467	1026	7748
468	1029	7748
469	1031	7748
470	1035	7757
471	1037	7758
472	1040	7757
473	1042	7757
474	1044	7753
475	1047	7753
476	1049	7752
477	1052	7753
478	1054	7753
479	1056	7749
480	1059	7748
481	1061	7748
482	1063	7743
483	1065	7739
484	1067	7733
485	1068	7728
486	1070	7723
487	1072	7719
488	1074	7713
489	1075	7706
490	1077	7700
491	1079	7697
492	1081	7693
493	1083	7688
494	1085	7685
495	1089	7696
496	1093	7705
497	1096	7708
498	1099	7712
499	1101	7711
500	1103	7707
501	1105	7704
502	1107	7698
503	1109	7696
504	1111	7693
505	1113	7687
506	1115	7685
507	1117	7679
508	1118	7674
509	1120	7669
510	1122	7662
511	1123	7656
512	1125	7650
513	1127	7645
514	1129	7640
515	1130	7635
516	1132	7630
517	1134	7626
518	1136	7625
519	1138	7619
520	1140	7613
521	1141	7607
522	1143	7602
523	1145	7596
524	1146	7592
525	1149	7589
526	1151	7585
527	1152	7580
528	1154	7574
529	1156	7571
530	1158	7567
531	1160	7563
532	1162	7558
533	1163	7553
534	1165	7548
535	1167	7542
536	1169	7538
537	1171	7535
538	1173	7534
539	1176	7539
540	1180	7545
541	1183	7548
542	1185	7545
543	1187	7543
544	1189	7540
545	1193	7549
546	1202	7588
547	1206	7601
548	1213	7625
549	1216	7631
550	1218	7628
551	1220	7625
552	1223	7626
553	1225	7621
554	1227	7617
555	1229	7613
556	1231	7612
557	1234	7617
558	1238	7622
559	1241	7624
560	1245	7637
561	1248	7636
562	1250	7632
563	1252	7629
564	1254	7624
565	1256	7621
566	1258	7618
567	1260	7618
568	1263	7619
569	1266	7621
570	1269	7624
571	1271	7622
572	1274	7620
573	1276	7618
574	1278	7613
575	1280	7609
576	1282	7607
577	1284	7602
578	1285	7598
579	1287	7593
580	1289	7590
581	1292	7591
582	1296	7598
583	1298	7597
584	1301	7596
585	1303	7594
586	1305	7592
587	1308	7591
588	1311	7597
589	1314	7595
590	1318	7607
591	1322	7611
592	1324	7610
593	1326	7607
594	1329	7607
595	1331	7605
596	1333	7604
597	1336	7604
598	1339	7606
599	1343	7612
600	1350	7637
601	1354	7647
602	1361	7671
603	1369	7700
604	1376	7725
605	1386	7767
606	1391	7780
607	1398	7802
608	1405	7827
609	1410	7838
610	1413	7841
611	1416	7842
612	1419	7845
613	1423	7849
614	1426	7852
615	1430	7855
616	1433	7858
617	1437	7867
618	1441	7872
619	1444	7873
620	1447	7876
621	1451	7881
622	1454	7881
623	1457	7883
624	1469	7934
625	1475	7952
626	1480	7963
627	1483	7967
628	1489	7980
629	1493	7989
630	1577	8419
631	1580	8423
632	1585	8434
633	1590	8446
634	1593	8443
635	1595	8438
636	1599	8443
637	1602	8445
638	1605	8442
639	1608	8444
640	1612	8452
641	1617	8461
642	1620	8460
643	1623	8460
644	1626	8458
645	1629	8459
646	1634	8470
647	1639	8482
648	1643	8484
649	1646	8484
650	1648	8481
651	1651	8479
652	1653	8476
653	1656	8475
654	1659	8475
655	1662	8473
656	1664	8470
657	1666	8466
658	1669	8462
659	1671	8457
660	1673	8454
661	1676	8450
662	1680	8460
663	1684	8461
664	1687	8461
665	1689	8456
666	1691	8451
667	1693	8445
668	1695	8441
669	1697	8436
670	1699	8433
671	1701	8428
672	1704	8424
673	1706	8419
674	1708	8417
675	1710	8413
676	1713	8410
677	1715	8406
678	1717	8401
679	1719	8395
680	1721	8388
681	1723	8383
682	1725	8380
683	1728	8378
684	1730	8376
685	1733	8372
686	1735	8368
687	1737	8366
688	1740	8362
689	1742	8359
690	1745	8356
691	1748	8358
692	1750	8354
693	1752	8348
694	1754	8343
695	1756	8340
696	1759	8337
697	1763	8341
698	1766	8340
699	1768	8335
700	1770	8333
701	1773	8330
702	1775	8326
703	1777	8323
704	1780	8319
705	1782	8315
706	1784	8310
707	1786	8305
708	1788	8300
709	1790	8296
710	1792	8292
711	1794	8288
712	1797	8285
713	1799	8280
714	1801	8275
715	1803	8270
716	1805	8266
717	1807	8263
718	1810	8260
719	1813	8262
720	1816	8262
721	1820	8264
722	1824	8268
723	1829	8277
724	1831	8272
725	1833	8267
726	1835	8264
727	1838	8261
728	1841	8262
729	1843	8259
730	1847	8262
731	1855	8282
732	1859	8288
733	1862	8289
734	1866	8292
735	1872	8302
736	1875	8302
737	1881	8314
738	1883	8311
739	1886	8311
740	1891	8319
741	1894	8319
742	1898	8321
743	1902	8326
744	1907	8332
745	1911	8336
746	1913	8333
747	1916	8332
748	1919	8332
749	1924	8340
750	1928	8345
751	1933	8351
752	1939	8363
753	1946	8378
754	1960	8425
755	1971	8459
756	1980	8482
757	1985	8492
758	1995	8519
759	1999	8522
760	2004	8532
761	2007	8530
762	2014	8548
763	2020	8559
764	2023	8556
765	2025	8552
766	2028	8548
767	2030	8543
768	2032	8537
769	2034	8532
770	2037	8533
771	2040	8530
772	2042	8526
773	2044	8521
774	2046	8518
775	2049	8514
776	2053	8518
777	2055	8514
778	2058	8512
779	2061	8512
780	2064	8509
781	2067	8507
782	2070	8507
783	2073	8507
784	2079	8515
785	2082	8516
786	2085	8515
787	2088	8512
788	2093	8519
789	2099	8532
790	2106	8547
791	2113	8560
792	2117	8561
793	2120	8560
794	2123	8559
795	2126	8559
796	2138	8594
797	2143	8600
798	2147	8603
799	2153	8614
800	2162	8634
801	2165	8633
802	2172	8650
803	2176	8650
804	2179	8648
805	2181	8644
806	2184	8641
807	2186	8639
808	2189	8635
809	2194	8643
810	2198	8645
811	2201	8643
812	2207	8654
813	2216	8675
814	2219	8674
815	2224	8678
816	2228	8682
817	2233	8687
818	2238	8693
819	2243	8699
820	2245	8696
821	2248	8693
822	2251	8689
823	2254	8687
824	2259	8695
825	2265	8703
826	2269	8706
827	2274	8711
828	2278	8713
829	2281	8715
830	2285	8714
831	2289	8718
832	2293	8719
833	2296	8719
834	2300	8720
835	2305	8726
836	2309	8725
837	2312	8724
838	2315	8725
839	2320	8730
840	2326	8739
841	2330	8742
842	2336	8751
843	2340	8752
844	2345	8755
845	2348	8755
846	2352	8757
847	2355	8756
848	2361	8763
849	2363	8759
850	2366	8757
851	2369	8754
852	2376	8766
853	2379	8765
854	2382	8765
855	2387	8768
856	2392	8773
857	2395	8773
858	2398	8771
859	2407	8788
860	2411	8793
861	2416	8798
862	2421	8802
863	2426	8805
864	2441	8849
865	2445	8849
866	2451	8860
867	2455	8861
868	2466	8887
869	2472	8896
870	2480	8909
871	2484	8912
872	2487	8911
873	2490	8907
874	2493	8905
875	2496	8903
876	2506	8925
877	2511	8929
878	2515	8932
879	2518	8929
880	2521	8926
881	2524	8923
882	2527	8921
883	2530	8918
884	2533	8916
885	2535	8911
886	2537	8906
887	2540	8903
888	2543	8899
889	2546	8897
890	2551	8902
891	2554	8899
892	2557	8897
893	2563	8904
894	2566	8903
895	2568	8899
896	2571	8895
897	2573	8890
898	2582	8906
899	2586	8910
900	2590	8909
901	2593	8907
902	2597	8908
903	2600	8907
904	2604	8905
905	2607	8905
906	2610	8903
907	2614	8901
908	2617	8901
909	2620	8897
910	2622	8893
911	2625	8890
912	2631	8898
913	2636	8902
914	2640	8902
915	2643	8898
916	2645	8895
917	2648	8893
918	2652	8893
919	2657	8895
920	2662	8900
921	2667	8903
922	2671	8904
923	2673	8900
924	2676	8898
925	2679	8893
926	2687	8908
927	2693	8916
928	2696	8914
929	2699	8910
930	2701	8904
931	2705	8905
932	2707	8900
933	2709	8895
934	2713	8893
935	2716	8890
936	2718	8886
937	2720	8881
938	2723	8877
939	2725	8873
940	2728	8868
941	2730	8863
942	2732	8858
943	2736	8858
944	2740	8858
945	2743	8855
946	2745	8850
947	2747	8845
948	2749	8840
949	2752	8836
950	2754	8831
951	2756	8825
952	2758	8820
953	2761	8815
954	2763	8810
955	2765	8806
956	2767	8801
957	2770	8796
958	2772	8790
959	2774	8785
960	2776	8780
961	2778	8775
962	2781	8772
963	2784	8769
964	2786	8764
965	2789	8760
966	2791	8755
967	2794	8752
968	2796	8747
969	2799	8743
970	2801	8739
971	2804	8736
972	2806	8731
973	2809	8728
974	2811	8723
975	2813	8718
976	2816	8714
977	2819	8713
978	2822	8709
979	2825	8705
980	2829	8706
981	2832	8705
982	2836	8706
983	2840	8704
984	2843	8702
985	2850	8712
986	2853	8710
987	2855	8706
988	2858	8703
989	2861	8699
990	2863	8695
991	2866	8691
992	2868	8686
993	2871	8683
994	2873	8678
995	2876	8674
996	2878	8670
997	2880	8665
998	2883	8661
999	2885	8657
1000	2888	8653
1001	2890	8648
1002	2893	8644
1003	2895	8639
1004	2897	8634
1005	2899	8629
1006	2901	8625
1007	2905	8623
1008	2908	8620
1009	2910	8616
1010	2912	8611
1011	2915	8606
1012	2917	8602
1013	2919	8597
1014	2921	8592
1015	2923	8587
1016	2926	8583
1017	2928	8579
1018	2931	8574
1019	2933	8569
1020	2935	8565
1021	2938	8563
1022	2945	8570
1023	2948	8570
1024	2953	8573
1025	2958	8575
1026	2964	8582
1027	2967	8578
1028	2969	8574
1029	2972	8570
1030	2974	8565
1031	2976	8559
1032	2978	8554
1033	2982	8554
1034	2984	8549
1035	2987	8547
1036	2991	8546
1037	2994	8543
1038	2996	8538
1039	2998	8533
1040	3000	8528
1041	3002	8523
1042	3005	8519
1043	3006	8514
1044	3008	8508
1045	3010	8503
1046	3012	8497
1047	3014	8492
1048	3016	8486
1049	3018	8481
1050	3020	8475
1051	3022	8470
1052	3024	8464
1053	3026	8458
1054	3029	8456
1055	3031	8451
1056	3034	8449
1057	3037	8445
1058	3040	8443
1059	3043	8441
1060	3048	8443
1061	3051	8440
1062	3054	8438
1063	3058	8439
1064	3061	8437
1065	3064	8435
1066	3067	8432
1067	3070	8429
1068	3073	8427
1069	3078	8430
1070	3082	8430
1071	3085	8426
1072	3087	8422
1073	3089	8416
1074	3091	8412
1075	3093	8407
1076	3096	8403
1077	3099	8400
1078	3101	8396
1079	3104	8394
1080	3107	8391
1081	3109	8386
1082	3111	8381
1083	3114	8377
1084	3116	8373
1085	3118	8368
1086	3120	8363
1087	3123	8359
1088	3125	8354
1089	3128	8350
1090	3130	8347
1091	3132	8343
1092	3135	8339
1093	3138	8335
1094	3140	8330
1095	3142	8325
1096	3144	8321
1097	3148	8320
1098	3151	8318
1099	3154	8315
1100	3156	8311
1101	3158	8307
1102	3161	8302
1103	3163	8298
1104	3165	8294
1105	3168	8290
1106	3170	8285
1107	3172	8281
1108	3175	8277
1109	3177	8273
1110	3180	8269
1111	3183	8268
1112	3187	8267
1113	3190	8265
1114	3193	8262
1115	3196	8259
1116	3199	8256
1117	3203	8256
1118	3206	8255
1119	3209	8251
1120	3211	8246
1121	3213	8242
1122	3215	8238
1123	3218	8234
1124	3221	8231
1125	3223	8227
1126	3226	8225
1127	3229	8223
1128	3233	8221
1129	3235	8217
1130	3239	8217
1131	3243	8218
1132	3248	8220
1133	3251	8217
1134	3254	8216
1135	3257	8213
1136	3262	8213
1137	3265	8213
1138	3270	8216
1139	3280	8228
1140	3283	8227
1141	3287	8226
1142	3291	8226
1143	3294	8224
1144	3297	8221
1145	3300	8220
1146	3304	8219
1147	3307	8216
1148	3311	8217
1149	3317	8221
1150	3323	8225
1151	3326	8223
1152	3329	8221
1153	3334	8224
1154	3337	8221
1155	3340	8218
1156	3343	8215
1157	3345	8211
1158	3350	8213
1159	3353	8210
1160	3356	8207
1161	3359	8205
1162	3362	8201
1163	3365	8198
1164	3368	8197
1165	3371	8193
1166	3374	8190
1167	3376	8186
1168	3378	8182
1169	3382	8181
1170	3386	8180
1171	3389	8179
1172	3392	8177
1173	3396	8175
1174	3399	8172
1175	3402	8169
1176	3406	8170
1177	3412	8174
1178	3416	8175
1179	3421	8177
1180	3424	8173
1181	3426	8169
1182	3429	8166
1183	3432	8163
1184	3435	8160
1185	3438	8159
1186	3442	8157
1187	3445	8155
1188	3449	8155
1189	3455	8160
1190	3460	8161
1191	3464	8160
1192	3468	8160
1193	3472	8161
1194	3475	8158
1195	3478	8155
1196	3483	8156
1197	3487	8156
1198	3491	8156
1199	3494	8153
1200	3496	8149
1201	3499	8146
1202	3502	8144
1203	3506	8142
1204	3510	8141
1205	3527	8172
1206	3531	8173
1207	3534	8170
1208	3538	8169
1209	3541	8165
1210	3543	8161
1211	3546	8159
1212	3552	8161
1213	3557	8163
1214	3563	8167
1215	3565	8163
1216	3569	8163
1217	3572	8159
1218	3575	8158
1219	3578	8154
1220	3580	8149
1221	3583	8146
1222	3585	8141
1223	3587	8136
1224	3591	8136
1225	3594	8132
1226	3596	8128
1227	3598	8123
1228	3601	8119
1229	3603	8114
1230	3605	8110
1231	3608	8106
1232	3610	8103
1233	3613	8100
1234	3616	8097
1235	3619	8093
1236	3621	8090
1237	3624	8086
1238	3627	8083
1239	3630	8080
1240	3633	8078
1241	3636	8075
1242	3639	8072
1243	3642	8069
1244	3645	8066
1245	3648	8064
1246	3652	8062
1247	3654	8059
1248	3658	8058
1249	3663	8059
1250	3668	8060
1251	3672	8060
1252	3677	8061
1253	3681	8061
1254	3686	8063
1255	3691	8064
1256	3695	8064
1257	3700	8064
1258	3704	8065
1259	3711	8071
1260	3715	8070
1261	3720	8072
1262	3724	8070
1263	3727	8067
1264	3729	8063
1265	3733	8062
1266	3739	8065
1267	3743	8064
1268	3745	8061
1269	3748	8057
1270	3751	8053
1271	3754	8051
1272	3756	8047
1273	3758	8042
1274	3760	8038
1275	3763	8034
1276	3766	8031
1277	3770	8031
1278	3773	8028
1279	3776	8024
1280	3780	8023
1281	3783	8021
1282	3787	8019
1283	3790	8017
1284	3793	8014
1285	3795	8010
1286	3798	8006
1287	3801	8003
1288	3803	8000
1289	3806	7996
1290	3808	7992
1291	3811	7988
1292	3816	7990
1293	3820	7988
1294	3823	7986
1295	3826	7983
1296	3828	7979
1297	3832	7977
1298	3834	7973
1299	3837	7970
1300	3841	7968
1301	3844	7965
1302	3847	7963
1303	3850	7960
1304	3853	7957
1305	3856	7955
1306	3860	7954
1307	3865	7955
1308	3871	7958
1309	3875	7958
1310	3884	7968
1311	3893	7976
1312	3898	7977
1313	3902	7977
1314	3905	7974
1315	3908	7970
1316	3911	7967
1317	3913	7963
1318	3915	7958
1319	3917	7954
1320	3920	7950
1321	3922	7946
1322	3927	7946
1323	3930	7944
1324	3934	7943
1325	3937	7940
1326	3940	7938
1327	3943	7934
1328	3945	7930
1329	3949	7928
1330	3951	7924
1331	3956	7925
1332	3960	7923
1333	3963	7921
1334	3967	7919
1335	3969	7916
1336	3972	7913
1337	3975	7909
1338	3978	7906
1339	3981	7904
1340	3984	7900
1341	3986	7896
1342	3989	7891
1343	3991	7888
1344	3995	7887
1345	3998	7884
1346	4001	7880
1347	4003	7876
1348	4007	7876
1349	4012	7875
1350	4017	7877
1351	4023	7880
1352	4026	7878
1353	4030	7876
1354	4033	7873
1355	4037	7871
1356	4042	7872
1357	4046	7871
1358	4050	7870
1359	4053	7867
1360	4056	7865
1361	4059	7862
1362	4062	7859
1363	4065	7857
1364	4070	7858
1365	4075	7857
1366	4078	7854
1367	4081	7852
1368	4083	7848
1369	4086	7845
1370	4089	7842
1371	4092	7839
1372	4095	7835
1373	4097	7831
1374	4101	7829
1375	4104	7828
1376	4108	7826
1377	4111	7822
1378	4113	7818
1379	4116	7816
1380	4120	7814
1381	4124	7812
1382	4126	7808
1383	4128	7804
1384	4131	7800
1385	4136	7800
1386	4142	7804
1387	4145	7801
1388	4151	7804
1389	4157	7806
1390	4164	7811
1391	4167	7808
1392	4172	7808
1393	4178	7811
1394	4181	7808
1395	4184	7804
1396	4187	7802
1397	4193	7804
1398	4196	7801
1399	4199	7798
1400	4202	7795
1401	4205	7793
1402	4208	7789
1403	4210	7786
1404	4214	7784
1405	4219	7785
1406	4222	7782
1407	4226	7781
1408	4229	7778
1409	4233	7777
1410	4236	7773
1411	4239	7770
1412	4244	7770
1413	4248	7770
1414	4252	7768
1415	4255	7765
1416	4258	7763
1417	4263	7763
1418	4267	7761
1419	4270	7759
1420	4274	7757
1421	4279	7757
1422	4283	7757
1423	4287	7755
1424	4307	7783
1425	4311	7782
1426	4317	7785
1427	4324	7788
1428	4328	7788
1429	4332	7786
1430	4335	7784
1431	4339	7782
1432	4343	7781
1433	4348	7781
1434	4353	7782
1435	4357	7780
1436	4366	7787
1437	4371	7787
1438	4374	7785
1439	4379	7785
1440	4383	7783
1441	4393	7793
1442	4401	7799
1443	4408	7803
1444	4415	7806
1445	4427	7820
1446	4436	7827
1447	4444	7832
1448	4451	7837
1449	4467	7856
1450	4478	7868
1451	4487	7874
1452	4494	7878
1453	4527	7927
1454	4572	7998
1455	4583	8009
1456	4600	8029
1457	4609	8036
1458	4620	8046
1459	4628	8051
1460	4644	8071
1461	4657	8085
1462	4674	8106
1463	4692	8128
1464	4701	8135
1465	4709	8140
1466	4715	8142
1467	4727	8153
1468	4733	8156
1469	4740	8158
1470	4745	8158
1471	4754	8165
1472	4759	8164
1473	4762	8161
1474	4769	8164
1475	4772	8161
1476	4778	8162
1477	4782	8161
1478	4790	8165
1479	4793	8161
1480	4795	8157
1481	4799	8155
1482	4804	8153
1483	4807	8151
1484	4815	8154
1485	4821	8157
1486	4825	8154
1487	4831	8156
1488	4841	8164
1489	4847	8166
1490	4853	8168
1491	4863	8175
1492	4869	8176
1493	4874	8177
1494	4880	8178
1495	4889	8183
1496	4895	8184
1497	4903	8190
1498	4911	8194
1499	4919	8199
1500	4923	8196
1501	4926	8193
1502	4931	8192
1503	4935	8191
1504	4941	8192
1505	4948	8195
1506	4958	8202
1507	4965	8205
1508	4972	8208
1509	4979	8210
1510	4987	8216
1511	5011	8246
1512	5037	8280
1513	5051	8294
1514	5069	8315
1515	5077	8320
1516	5085	8324
1517	5092	8325
1518	5098	8328
1519	5104	8327
1520	5109	8327
1521	5119	8335
1522	5126	8338
1523	5137	8347
1524	5145	8350
1525	5152	8353
1526	5159	8356
1527	5165	8355
1528	5170	8356
1529	5176	8356
1530	5183	8359
1531	5186	8355
1532	5190	8353
1533	5194	8350
1534	5197	8346
1535	5202	8345
1536	5206	8343
1537	5211	8341
1538	5222	8351
1539	5228	8351
1540	5236	8356
1541	5241	8354
1542	5248	8357
1543	5253	8357
1544	5259	8357
1545	5264	8355
1546	5268	8354
1547	5272	8351
1548	5280	8354
1549	5288	8359
1550	5293	8358
1551	5300	8360
1552	5304	8357
1553	5310	8358
1554	5313	8355
1555	5318	8353
1556	5322	8350
1557	5326	8348
1558	5329	8345
1559	5332	8341
1560	5337	8339
1561	5344	8341
1562	5350	8341
1563	5355	8341
1564	5362	8343
1565	5368	8344
1566	5373	8343
1567	5380	8344
1568	5386	8345
1569	5389	8341
1570	5393	8339
1571	5398	8338
1572	5401	8334
1573	5405	8331
1574	5408	8327
1575	5412	8325
1576	5416	8322
1577	5423	8324
1578	5429	8324
1579	5433	8321
1580	5437	8319
1581	5441	8316
1582	5445	8313
1583	5450	8313
1584	5454	8310
1585	5457	8306
1586	5460	8302
1587	5463	8298
1588	5466	8294
1589	5469	8290
1590	5472	8286
1591	5475	8282
1592	5478	8278
1593	5483	8276
1594	5486	8273
1595	5492	8273
1596	5497	8271
1597	5500	8268
1598	5504	8265
1599	5508	8262
1600	5512	8259
1601	5516	8256
1602	5518	8252
1603	5521	8247
1604	5524	8243
1605	5526	8238
1606	5529	8234
1607	5532	8229
1608	5534	8223
1609	5536	8218
1610	5539	8214
1611	5541	8208
1612	5543	8204
1613	5546	8199
1614	5549	8194
1615	5552	8191
1616	5555	8187
1617	5559	8184
1618	5563	8181
1619	5566	8177
1620	5569	8174
1621	5573	8171
1622	5576	8167
1623	5579	8163
1624	5583	8160
1625	5586	8156
1626	5589	8152
1627	5591	8147
1628	5594	8143
1629	5598	8140
1630	5601	8136
1631	5604	8132
1632	5607	8127
1633	5609	8123
1634	5612	8118
1635	5615	8114
1636	5618	8110
1637	5631	8120
1638	5637	8120
1639	5641	8118
1640	5647	8119
1641	5652	8117
1642	5656	8114
1643	5661	8113
1644	5665	8110
1645	5671	8110
1646	5677	8110
1647	5682	8110
1648	5687	8108
1649	5691	8106
1650	5695	8103
1651	5699	8100
1652	5702	8096
1653	5706	8094
1654	5719	8104
1655	5724	8102
1656	5726	8097
1657	5728	8091
1658	5730	8086
1659	5733	8082
1660	5738	8080
1661	5742	8078
1662	5774	8114
1663	5803	8147
1664	5812	8151
1665	5817	8150
1666	5823	8149
1667	5832	8153
1668	5839	8155
1669	5848	8159
1670	5855	8161
1671	5866	8168
1672	5872	8167
1673	5877	8166
1674	5882	8165
1675	5888	8164
1676	5893	8163
1677	5897	8161
1678	5903	8161
1679	5908	8159
1680	5915	8160
1681	5922	8161
1682	5927	8160
1683	5930	8156
1684	5935	8154
1685	5939	8151
1686	5943	8148
1687	5946	8144
1688	5949	8140
1689	5954	8138
1690	5963	8143
1691	5966	8139
1692	5969	8134
1693	5973	8131
1694	5977	8128
1695	5980	8125
1696	5985	8122
1697	5989	8119
1698	5992	8116
1699	5996	8112
1700	5999	8109
1701	6004	8107
1702	6009	8105
1703	6013	8102
1704	6016	8098
1705	6020	8095
1706	6023	8091
1707	6026	8086
1708	6032	8086
1709	6037	8084
1710	6041	8082
1711	6045	8079
1712	6049	8076
1713	6054	8075
