iter	Passed	Remaining
415	2469	3466
416	2480	3467
417	2486	3461
418	2494	3458
419	2499	3451
420	2504	3445
421	2511	3439
422	2515	3430
423	2518	3421
424	2524	3415
425	2530	3409
426	2535	3402
427	2541	3396
428	2546	3389
429	2552	3382
430	2557	3375
431	2562	3369
432	2567	3361
433	2572	3355
434	2577	3348
435	2582	3340
436	2586	3331
437	2590	3324
438	2595	3316
439	2601	3310
440	2607	3305
441	2613	3299
442	2619	3293
443	2624	3287
444	2630	3280
445	2635	3273
446	2639	3265
447	2643	3257
448	2647	3249
449	2653	3242
450	2656	3234
451	2661	3227
452	2665	3218
453	2669	3210
454	2674	3203
455	2679	3196
456	2683	3188
457	2687	3180
458	2692	3172
459	2696	3165
460	2701	3158
461	2704	3149
462	2709	3142
463	2714	3135
464	2719	3129
465	2725	3123
466	2731	3117
467	2735	3109
468	2738	3100
469	2742	3092
470	2747	3086
471	2751	3078
472	2756	3070
473	2761	3064
474	2765	3057
475	2769	3049
476	2774	3041
477	2778	3034
478	2783	3027
479	2787	3019
480	2790	3010
481	2794	3002
482	2798	2995
483	2801	2986
484	2805	2979
485	2828	2991
486	2848	3000
487	2855	2995
488	2862	2991
489	2868	2985
490	2873	2978
491	2880	2973
492	2883	2965
493	2888	2958
494	2894	2952
495	2898	2945
496	2902	2937
497	2908	2931
498	2914	2925
499	2919	2919
500	2923	2911
501	2928	2905
502	2934	2899
503	2939	2893
504	2944	2885
505	2948	2878
506	2953	2871
507	2957	2864
508	2962	2857
509	2966	2850
510	2970	2843
511	2975	2836
512	2979	2828
513	2984	2822
514	2990	2816
515	2995	2809
516	3000	2803
517	3005	2796
518	3011	2790
519	3016	2784
520	3020	2776
521	3024	2769
522	3028	2762
523	3034	2756
524	3038	2749
525	3043	2742
526	3047	2735
527	3051	2728
528	3055	2720
529	3059	2713
530	3064	2707
531	3068	2699
532	3072	2691
533	3075	2683
534	3078	2675
535	3081	2667
536	3084	2659
537	3089	2652
538	3092	2644
539	3096	2638
540	3100	2630
541	3103	2622
542	3107	2615
543	3111	2608
544	3115	2600
545	3119	2593
546	3122	2586
547	3125	2578
548	3130	2571
549	3133	2563
550	3137	2556
551	3141	2549
552	3146	2543
553	3150	2536
554	3153	2528
555	3157	2521
556	3162	2515
557	3167	2509
558	3171	2501
559	3175	2495
560	3180	2488
561	3184	2482
562	3190	2476
563	3195	2470
564	3200	2463
565	3205	2458
566	3212	2453
567	3216	2446
568	3222	2440
569	3225	2433
570	3229	2426
571	3234	2420
572	3240	2414
573	3244	2407
574	3249	2401
575	3253	2395
576	3259	2389
577	3264	2383
578	3268	2376
579	3273	2370
580	3276	2362
581	3280	2356
582	3284	2349
583	3289	2342
584	3293	2336
585	3298	2330
586	3302	2323
587	3306	2316
588	3311	2310
589	3315	2304
590	3320	2298
591	3326	2292
592	3332	2287
593	3337	2280
594	3340	2273
595	3344	2267
596	3349	2261
597	3354	2255
598	3358	2248
599	3363	2242
600	3366	2235
601	3371	2229
602	3375	2222
603	3379	2215
604	3382	2208
605	3387	2202
606	3392	2196
607	3397	2190
608	3401	2183
609	3405	2177
610	3408	2170
611	3412	2163
612	3416	2157
613	3421	2150
614	3424	2143
615	3429	2137
616	3433	2131
617	3437	2124
618	3442	2118
619	3446	2112
620	3450	2105
621	3454	2099
622	3457	2092
623	3461	2085
624	3464	2078
625	3468	2072
626	3473	2066
627	3477	2059
628	3481	2053
629	3485	2046
630	3489	2040
631	3494	2035
632	3500	2029
633	3503	2022
634	3506	2015
635	3512	2010
636	3516	2004
637	3521	1998
638	3525	1991
639	3530	1986
640	3535	1980
641	3541	1974
642	3545	1968
643	3550	1962
644	3554	1956
645	3558	1950
646	3563	1944
647	3568	1938
648	3574	1932
649	3578	1926
650	3582	1920
651	3586	1914
652	3591	1908
653	3596	1902
654	3600	1896
655	3605	1890
656	3609	1884
657	3614	1878
658	3618	1872
659	3623	1866
660	3629	1861
661	3633	1855
662	3637	1849
663	3640	1842
664	3645	1836
665	3649	1830
666	3655	1824
667	3659	1818
668	3664	1812
669	3668	1806
670	3672	1800
671	3677	1795
672	3683	1789
673	3687	1783
674	3692	1777
675	3697	1772
676	3702	1766
677	3707	1760
678	3711	1754
679	3716	1748
680	3720	1742
681	3724	1736
682	3729	1730
683	3734	1725
684	3739	1719
685	3743	1713
686	3748	1707
687	3753	1702
688	3757	1696
689	3761	1690
690	3766	1684
691	3770	1678
692	3775	1672
693	3779	1666
694	3784	1660
695	3788	1654
696	3792	1648
697	3798	1643
698	3803	1637
699	3808	1632
700	3814	1626
701	3818	1621
702	3823	1615
703	3828	1609
704	3831	1603
705	3835	1597
706	3840	1591
707	3845	1585
708	3848	1579
709	3853	1574
710	3858	1568
711	3863	1562
712	3867	1556
713	3870	1550
714	3875	1544
715	3880	1539
716	3884	1533
717	3889	1527
718	3893	1521
719	3898	1516
720	3904	1510
721	3907	1504
722	3913	1499
723	3917	1493
724	3921	1487
725	3926	1481
726	3929	1475
727	3933	1469
728	3938	1464
729	3942	1458
730	3946	1452
731	3950	1446
732	3955	1440
733	3960	1435
734	3965	1429
735	3968	1423
736	3972	1417
737	3977	1412
738	3982	1406
739	3986	1400
740	3991	1395
741	3997	1390
742	4002	1384
743	4007	1379
744	4012	1373
745	4016	1367
746	4022	1362
747	4026	1356
748	4030	1350
749	4035	1345
750	4039	1339
751	4045	1334
752	4048	1328
753	4052	1322
754	4056	1316
755	4061	1310
756	4066	1305
757	4070	1299
758	4075	1294
759	4080	1288
760	4084	1282
761	4088	1276
762	4092	1271
763	4095	1264
764	4098	1258
765	4102	1253
766	4107	1247
767	4111	1241
768	4114	1235
769	4119	1230
770	4123	1224
771	4128	1219
772	4132	1213
773	4137	1208
774	4141	1202
775	4146	1196
776	4149	1190
777	4153	1185
778	4159	1180
779	4164	1174
780	4168	1168
781	4172	1163
782	4176	1157
783	4180	1151
784	4184	1145
785	4188	1140
786	4192	1134
787	4196	1128
788	4201	1123
789	4205	1117
790	4211	1112
791	4215	1107
792	4219	1101
793	4223	1095
794	4226	1089
795	4230	1084
796	4234	1078
797	4237	1072
798	4242	1067
799	4245	1061
800	4251	1056
801	4256	1050
802	4261	1045
803	4265	1039
804	4270	1034
805	4274	1028
806	4279	1023
807	4284	1018
808	4289	1012
809	4292	1006
810	4296	1001
811	4300	995
812	4305	990
813	4309	984
814	4313	979
815	4318	973
816	4322	968
817	4325	962
818	4329	956
819	4334	951
820	4338	945
821	4344	940
822	4348	935
823	4353	929
824	4358	924
825	4363	919
826	4366	913
827	4370	907
828	4374	902
829	4378	896
830	4384	891
831	4387	886
832	4393	880
833	4399	875
834	4403	870
835	4407	864
